id,type
202310240DEN,RS
202310270MEM,RS
202310290OKC,RS
202310300DEN,RS
202311010MIN,RS
202311030DEN,RS
202311040DEN,RS
202311060DEN,RS
202311080DEN,RS
202311120HOU,RS
202311140DEN,RS
202311170NOP,RS
202311190CLE,RS
202311200DET,RS
202311220ORL,RS
202311240HOU,RS
202311260DEN,RS
202311270LAC,RS
202311290DEN,RS
202312010PHO,RS
202312020SAC,RS
202312060LAC,RS
202312080DEN,RS
202312110ATL,RS
202312120CHI,RS
202312140DEN,RS
202312160DEN,RS
202312180DEN,RS
202312200TOR,RS
202312220BRK,RS
202312230CHO,RS
202312250DEN,RS
202312280DEN,RS
202312290DEN,RS
202401010DEN,RS
202401040GSW,RS
202401050DEN,RS
202401070DEN,RS
202401100UTA,RS
202401120DEN,RS
202401140DEN,RS
202401160PHI,RS
202401190BOS,RS
202401210WAS,RS
202401230IND,RS
202401250NYK,RS
202401270DEN,RS
202401290DEN,RS
202401310OKC,RS
202402020DEN,RS
202402040DEN,RS
202402080LAL,RS
202402090SAC,RS
202402120MIL,RS
202402140DEN,RS
202402220DEN,RS
202402230POR,RS
202402250GSW,RS
202402280DEN,RS
202402290DEN,RS
202403020LAL,RS
202403050DEN,RS
202403070DEN,RS
202403090DEN,RS
202403110DEN,RS
202403130MIA,RS
202403150SAS,RS
202403170DAL,RS
202403190MIN,RS
202403210DEN,RS
202403230POR,RS
202403250DEN,RS
202403270DEN,RS
202403290DEN,RS
202403310DEN,RS
202404020DEN,RS
202404040LAC,RS
202404060DEN,RS
202404090UTA,RS
202404100DEN,RS
202404120SAS,RS
202404140MEM,RS
202404200DEN,PO
202404220DEN,PO
202404250LAL,PO
202404270LAL,PO
202404290DEN,PO
202405040DEN,PO
202405060DEN,PO
202405100MIN,PO
202405120MIN,PO
202405140DEN,PO
202405160MIN,PO
202405190DEN,PO
