id,type
202310250MIA,RS
202310270CHO,RS
202310280DET,RS
202310300OKC,RS
202311010DET,RS
202311020NOP,RS
202311050DET,RS
202311060DET,RS
202311080MIL,RS
202311100DET,RS
202311120CHI,RS
202311140DET,RS
202311170CLE,RS
202311190TOR,RS
202311200DET,RS
202311240IND,RS
202311270DET,RS
202311290DET,RS
202311300NYK,RS
202312020DET,RS
202312060DET,RS
202312080ORL,RS
202312110DET,RS
202312130DET,RS
202312150PHI,RS
202312160MIL,RS
202312180ATL,RS
202312210DET,RS
202312230BRK,RS
202312260DET,RS
202312280BOS,RS
202312300DET,RS
202401010HOU,RS
202401030UTA,RS
202401050GSW,RS
202401070DEN,RS
202401090DET,RS
202401100DET,RS
202401120DET,RS
202401150WAS,RS
202401170DET,RS
202401200DET,RS
202401220DET,RS
202401240DET,RS
202401270DET,RS
202401280DET,RS
202401310CLE,RS
202402020DET,RS
202402040DET,RS
202402070SAC,RS
202402080POR,RS
202402100LAC,RS
202402130LAL,RS
202402140PHO,RS
202402220IND,RS
202402240DET,RS
202402260NYK,RS
202402270CHI,RS
202403010DET,RS
202403030ORL,RS
202403050MIA,RS
202403070DET,RS
202403090DET,RS
202403110DET,RS
202403130DET,RS
202403150DET,RS
202403170DET,RS
202403180BOS,RS
202403200DET,RS
202403220DET,RS
202403240DET,RS
202403250NYK,RS
202403270MIN,RS
202403290WAS,RS
202404010DET,RS
202404030ATL,RS
202404050MEM,RS
202404060BRK,RS
202404090PHI,RS
202404110DET,RS
202404120DAL,RS
202404140SAS,RS
