id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202310250MIA,RS,MIA,0.0,,0,0,0
202310250MIA,RS,MIA,17.0,,2,0,2
202310250MIA,RS,MIA,52.0,,4,0,4
202310250MIA,RS,MIA,102.0,,4,2,2
202310250MIA,RS,MIA,123.0,LC,4,5,-1
202310250MIA,RS,MIA,133.0,T,5,5,0
202310250MIA,RS,MIA,133.0,LC,6,5,1
202310250MIA,RS,MIA,164.0,,9,5,4
202310250MIA,RS,MIA,200.0,,12,5,7
202310250MIA,RS,MIA,212.0,,12,8,4
202310250MIA,RS,MIA,231.0,,12,10,2
202310250MIA,RS,MIA,261.0,T,12,12,0
202310250MIA,RS,MIA,261.0,LC,12,13,-1
202310250MIA,RS,MIA,277.0,,12,14,-2
202310250MIA,RS,MIA,300.0,,12,15,-3
202310250MIA,RS,MIA,300.0,,12,16,-4
202310250MIA,RS,MIA,315.0,,14,16,-2
202310250MIA,RS,MIA,336.0,,14,18,-4
202310250MIA,RS,MIA,351.0,,16,18,-2
202310250MIA,RS,MIA,367.0,,16,20,-4
202310250MIA,RS,MIA,390.0,,18,20,-2
202310250MIA,RS,MIA,432.0,,18,21,-3
202310250MIA,RS,MIA,432.0,,18,22,-4
202310250MIA,RS,MIA,484.0,,21,22,-1
202310250MIA,RS,MIA,527.0,,21,24,-3
202310250MIA,RS,MIA,598.0,,23,24,-1
202310250MIA,RS,MIA,644.0,LC,26,24,2
202310250MIA,RS,MIA,694.0,T,26,26,0
202310250MIA,RS,MIA,715.0,,29,26,3
202310250MIA,RS,MIA,741.0,,29,28,1
202310250MIA,RS,MIA,796.0,LC,29,31,-2
202310250MIA,RS,MIA,836.0,,29,33,-4
202310250MIA,RS,MIA,850.0,,30,33,-3
202310250MIA,RS,MIA,861.0,,30,34,-4
202310250MIA,RS,MIA,895.0,,30,36,-6
202310250MIA,RS,MIA,925.0,,30,38,-8
202310250MIA,RS,MIA,925.0,,30,39,-9
202310250MIA,RS,MIA,939.0,,32,39,-7
202310250MIA,RS,MIA,1016.0,,35,39,-4
202310250MIA,RS,MIA,1034.0,,35,41,-6
202310250MIA,RS,MIA,1073.0,,35,42,-7
202310250MIA,RS,MIA,1073.0,,35,43,-8
202310250MIA,RS,MIA,1082.0,,37,43,-6
202310250MIA,RS,MIA,1123.0,,39,43,-4
202310250MIA,RS,MIA,1142.0,,39,46,-7
202310250MIA,RS,MIA,1162.0,,41,46,-5
202310250MIA,RS,MIA,1180.0,,41,48,-7
202310250MIA,RS,MIA,1191.0,,41,49,-8
202310250MIA,RS,MIA,1191.0,,41,50,-9
202310250MIA,RS,MIA,1213.0,,43,50,-7
202310250MIA,RS,MIA,1232.0,,43,52,-9
202310250MIA,RS,MIA,1302.0,,43,53,-10
202310250MIA,RS,MIA,1348.0,,46,53,-7
202310250MIA,RS,MIA,1371.0,,46,55,-9
202310250MIA,RS,MIA,1409.0,,46,58,-12
202310250MIA,RS,MIA,1440.0,,47,58,-11
202310250MIA,RS,MIA,1484.0,,47,61,-14
202310250MIA,RS,MIA,1502.0,,49,61,-12
202310250MIA,RS,MIA,1520.0,,49,63,-14
202310250MIA,RS,MIA,1613.0,,51,63,-12
202310250MIA,RS,MIA,1644.0,,53,63,-10
202310250MIA,RS,MIA,1669.0,,55,63,-8
202310250MIA,RS,MIA,1686.0,,55,65,-10
202310250MIA,RS,MIA,1717.0,,55,67,-12
202310250MIA,RS,MIA,1742.0,,55,70,-15
202310250MIA,RS,MIA,1761.0,,57,70,-13
202310250MIA,RS,MIA,1805.0,,57,71,-14
202310250MIA,RS,MIA,1819.0,,60,71,-11
202310250MIA,RS,MIA,1835.0,,60,73,-13
202310250MIA,RS,MIA,1898.0,,60,75,-15
202310250MIA,RS,MIA,1916.0,,62,75,-13
202310250MIA,RS,MIA,1927.0,,62,76,-14
202310250MIA,RS,MIA,1927.0,,62,77,-15
202310250MIA,RS,MIA,1946.0,,64,77,-13
202310250MIA,RS,MIA,1981.0,,65,77,-12
202310250MIA,RS,MIA,1981.0,,66,77,-11
202310250MIA,RS,MIA,2000.0,,66,79,-13
202310250MIA,RS,MIA,2026.0,,67,79,-12
202310250MIA,RS,MIA,2026.0,,68,79,-11
202310250MIA,RS,MIA,2048.0,,68,81,-13
202310250MIA,RS,MIA,2075.0,,70,81,-11
202310250MIA,RS,MIA,2107.0,,72,81,-9
202310250MIA,RS,MIA,2115.0,,75,81,-6
202310250MIA,RS,MIA,2129.0,,75,82,-7
202310250MIA,RS,MIA,2129.0,,75,83,-8
202310250MIA,RS,MIA,2194.0,,75,86,-11
202310250MIA,RS,MIA,2246.0,,75,88,-13
202310250MIA,RS,MIA,2276.0,,75,90,-15
202310250MIA,RS,MIA,2300.0,,75,92,-17
202310250MIA,RS,MIA,2315.0,,75,94,-19
202310250MIA,RS,MIA,2333.0,,77,94,-17
202310250MIA,RS,MIA,2333.0,,78,94,-16
202310250MIA,RS,MIA,2367.0,,80,94,-14
202310250MIA,RS,MIA,2387.0,,83,94,-11
202310250MIA,RS,MIA,2416.0,,85,94,-9
202310250MIA,RS,MIA,2458.0,,87,94,-7
202310250MIA,RS,MIA,2496.0,,89,94,-5
202310250MIA,RS,MIA,2516.0,,89,95,-6
202310250MIA,RS,MIA,2547.0,,89,97,-8
202310250MIA,RS,MIA,2574.0,,91,97,-6
202310250MIA,RS,MIA,2615.0,,93,97,-4
202310250MIA,RS,MIA,2641.0,,93,99,-6
202310250MIA,RS,MIA,2668.0,,93,100,-7
202310250MIA,RS,MIA,2668.0,,93,101,-8
202310250MIA,RS,MIA,2681.0,,95,101,-6
202310250MIA,RS,MIA,2703.0,,95,103,-8
202310250MIA,RS,MIA,2741.0,,97,103,-6
202310250MIA,RS,MIA,2759.0,,99,103,-4
202310250MIA,RS,MIA,2776.0,F,102,103,-1
202310250MIA,RS,MIA,2880.0,,102,103,-1
202310270CHO,RS,CHA,0.0,,0,0,0
