id,type
202310240GSW,RS
202310270SAC,RS
202310290HOU,RS
202310300NOP,RS
202311010GSW,RS
202311030OKC,RS
202311050CLE,RS
202311060DET,RS
202311080DEN,RS
202311110GSW,RS
202311120GSW,RS
202311140GSW,RS
202311160GSW,RS
202311180GSW,RS
202311200GSW,RS
202311220PHO,RS
202311240GSW,RS
202311280SAC,RS
202311300GSW,RS
202312020LAC,RS
202312060GSW,RS
202312080OKC,RS
202312120PHO,RS
202312140LAC,RS
202312160GSW,RS
202312170POR,RS
202312190GSW,RS
202312220GSW,RS
202312230GSW,RS
202312250DEN,RS
202312280GSW,RS
202312300GSW,RS
202401020GSW,RS
202401040GSW,RS
202401050GSW,RS
202401070GSW,RS
202401100GSW,RS
202401120CHI,RS
202401130MIL,RS
202401150MEM,RS
202401240GSW,RS
202401250GSW,RS
202401270GSW,RS
202401300GSW,RS
202402020MEM,RS
202402030ATL,RS
202402050BRK,RS
202402070PHI,RS
202402080IND,RS
202402100GSW,RS
202402120UTA,RS
202402140GSW,RS
202402150UTA,RS
202402220GSW,RS
202402230GSW,RS
202402250GSW,RS
202402270WAS,RS
202402290NYK,RS
202403010TOR,RS
202403030BOS,RS
202403060GSW,RS
202403070GSW,RS
202403090GSW,RS
202403110SAS,RS
202403130DAL,RS
202403160LAL,RS
202403180GSW,RS
202403200GSW,RS
202403220GSW,RS
202403240MIN,RS
202403260MIA,RS
202403270ORL,RS
202403290CHO,RS
202403310SAS,RS
202404020GSW,RS
202404040HOU,RS
202404050DAL,RS
202404070GSW,RS
202404090LAL,RS
202404110POR,RS
202404120GSW,RS
202404140GSW,RS
202404160SAC,RS
