id,type
202310250ORL,RS
202310270SAS,RS
202310290HOU,RS
202311010HOU,RS
202311040HOU,RS
202311060HOU,RS
202311080HOU,RS
202311100HOU,RS
202311120HOU,RS
202311170LAC,RS
202311190LAL,RS
202311200GSW,RS
202311220HOU,RS
202311240HOU,RS
202311280DAL,RS
202311290DEN,RS
202312020LAL,RS
202312060HOU,RS
202312080DEN,RS
202312110HOU,RS
202312130HOU,RS
202312150MEM,RS
202312170MIL,RS
202312180CLE,RS
202312200HOU,RS
202312220HOU,RS
202312230NOP,RS
202312260HOU,RS
202312270HOU,RS
202312290HOU,RS
202401010HOU,RS
202401030HOU,RS
202401050HOU,RS
202401060HOU,RS
202401080MIA,RS
202401100CHI,RS
202401120DET,RS
202401130BOS,RS
202401150PHI,RS
202401170NYK,RS
202401200HOU,RS
202401210HOU,RS
202401240HOU,RS
202401260CHO,RS
202401270BRK,RS
202401290HOU,RS
202401310HOU,RS
202402020HOU,RS
202402040MIN,RS
202402060IND,RS
202402090TOR,RS
202402100ATL,RS
202402120HOU,RS
202402140MEM,RS
202402220NOP,RS
202402230HOU,RS
202402250HOU,RS
202402270OKC,RS
202402290PHO,RS
202403020PHO,RS
202403050HOU,RS
202403060HOU,RS
202403080POR,RS
202403100SAC,RS
202403120SAS,RS
202403140HOU,RS
202403160HOU,RS
202403190WAS,RS
202403210HOU,RS
202403230HOU,RS
202403250HOU,RS
202403270OKC,RS
202403290UTA,RS
202403310HOU,RS
202404020MIN,RS
202404040HOU,RS
202404050HOU,RS
202404070DAL,RS
202404090HOU,RS
202404110UTA,RS
202404120POR,RS
202404140LAC,RS
