id,type
202310250IND,RS
202310280CLE,RS
202310300IND,RS
202311010BOS,RS
202311030IND,RS
202311040IND,RS
202311060IND,RS
202311080IND,RS
202311090IND,RS
202311120PHI,RS
202311140PHI,RS
202311190IND,RS
202311210ATL,RS
202311220IND,RS
202311240IND,RS
202311270IND,RS
202311300MIA,RS
202312020MIA,RS
202312040IND,RS
202312070MIL,RS
202312110DET,RS
202312130MIL,RS
202312150WAS,RS
202312160MIN,RS
202312180IND,RS
202312200IND,RS
202312210MEM,RS
202312230IND,RS
202312260HOU,RS
202312280CHI,RS
202312300IND,RS
202401010MIL,RS
202401030IND,RS
202401050IND,RS
202401060IND,RS
202401080IND,RS
202401100IND,RS
202401120ATL,RS
202401140DEN,RS
202401150UTA,RS
202401180SAC,RS
202401190POR,RS
202401210PHO,RS
202401230IND,RS
202401250IND,RS
202401260IND,RS
202401280IND,RS
202401300BOS,RS
202402010NYK,RS
202402020IND,RS
202402040CHO,RS
202402060IND,RS
202402080IND,RS
202402100NYK,RS
202402120CHO,RS
202402140TOR,RS
202402220IND,RS
202402250IND,RS
202402260IND,RS
202402280IND,RS
202403010NOP,RS
202403030SAS,RS
202403050DAL,RS
202403070IND,RS
202403100ORL,RS
202403120OKC,RS
202403130IND,RS
202403160IND,RS
202403180IND,RS
202403200DET,RS
202403220GSW,RS
202403240LAL,RS
202403250LAC,RS
202403270CHI,RS
202403290IND,RS
202404010IND,RS
202404030BRK,RS
202404050IND,RS
202404070IND,RS
202404090TOR,RS
202404120CLE,RS
202404140IND,RS
202404210MIL,PO
202404230MIL,PO
202404260IND,PO
202404280IND,PO
202404300MIL,PO
202405020IND,PO
202405060NYK,PO
202405080NYK,PO
202405100IND,PO
202405120IND,PO
202405140NYK,PO
202405170IND,PO
202405190NYK,PO
202405210BOS,PO
202405230BOS,PO
202405250IND,PO
202405270IND,PO
