id,type
202310250LAC,RS
202310270UTA,RS
202310290LAC,RS
202310310LAC,RS
202311010LAL,RS
202311060NYK,RS
202311080BRK,RS
202311100DAL,RS
202311120LAC,RS
202311140DEN,RS
202311170LAC,RS
202311200SAS,RS
202311220SAS,RS
202311240LAC,RS
202311250LAC,RS
202311270LAC,RS
202311290SAC,RS
202311300GSW,RS
202312020LAC,RS
202312060LAC,RS
202312080UTA,RS
202312110LAC,RS
202312120LAC,RS
202312140LAC,RS
202312160LAC,RS
202312180IND,RS
202312200DAL,RS
202312210OKC,RS
202312230LAC,RS
202312260LAC,RS
202312290LAC,RS
202401010LAC,RS
202401030PHO,RS
202401050NOP,RS
202401070LAL,RS
202401080LAC,RS
202401100LAC,RS
202401120MEM,RS
202401140MIN,RS
202401160LAC,RS
202401210LAC,RS
202401230LAC,RS
202401260TOR,RS
202401270BOS,RS
202401290CLE,RS
202401310WAS,RS
202402020DET,RS
202402040MIA,RS
202402050ATL,RS
202402070LAC,RS
202402100LAC,RS
202402120LAC,RS
202402140GSW,RS
202402220OKC,RS
202402230MEM,RS
202402250LAC,RS
202402280LAC,RS
202403010LAC,RS
202403030MIN,RS
202403040MIL,RS
202403060HOU,RS
202403090LAC,RS
202403100LAC,RS
202403120LAC,RS
202403140CHI,RS
202403150NOP,RS
202403170LAC,RS
202403200POR,RS
202403220POR,RS
202403240LAC,RS
202403250LAC,RS
202403270PHI,RS
202403290ORL,RS
202403310CHO,RS
202404020SAC,RS
202404040LAC,RS
202404050LAC,RS
202404070LAC,RS
202404090PHO,RS
202404100LAC,RS
202404120LAC,RS
202404140LAC,RS
202404210LAC,PO
202404230LAC,PO
202404260DAL,PO
202404280DAL,PO
202405010LAC,PO
202405030DAL,PO
