id,type
202310240DEN,RS
202310260LAL,RS
202310290SAC,RS
202310300LAL,RS
202311010LAL,RS
202311040ORL,RS
202311060MIA,RS
202311080HOU,RS
202311100PHO,RS
202311120LAL,RS
202311140LAL,RS
202311150LAL,RS
202311170POR,RS
202311190LAL,RS
202311210LAL,RS
202311220LAL,RS
202311250CLE,RS
202311270PHI,RS
202311290DET,RS
202311300OKC,RS
202312020LAL,RS
202312050LAL,RS
202312070LAL,RS
202312120DAL,RS
202312130SAS,RS
202312150SAS,RS
202312180LAL,RS
202312200CHI,RS
202312210MIN,RS
202312230OKC,RS
202312250LAL,RS
202312280LAL,RS
202312300MIN,RS
202312310NOP,RS
202401030LAL,RS
202401050LAL,RS
202401070LAL,RS
202401090LAL,RS
202401110LAL,RS
202401130UTA,RS
202401150LAL,RS
202401170LAL,RS
202401190LAL,RS
202401210LAL,RS
202401230LAC,RS
202401250LAL,RS
202401270GSW,RS
202401290HOU,RS
202401300ATL,RS
202402010BOS,RS
202402030NYK,RS
202402050CHO,RS
202402080LAL,RS
202402090LAL,RS
202402130LAL,RS
202402140UTA,RS
202402220GSW,RS
202402230LAL,RS
202402250PHO,RS
202402280LAC,RS
202402290LAL,RS
202403020LAL,RS
202403040LAL,RS
202403060LAL,RS
202403080LAL,RS
202403100LAL,RS
202403130SAC,RS
202403160LAL,RS
202403180LAL,RS
202403220LAL,RS
202403240LAL,RS
202403260MIL,RS
202403270MEM,RS
202403290IND,RS
202403310BRK,RS
202404020TOR,RS
202404030WAS,RS
202404060LAL,RS
202404070LAL,RS
202404090LAL,RS
202404120MEM,RS
202404140NOP,RS
202404160NOP,RS
202404200DEN,PO
202404220DEN,PO
202404250LAL,PO
202404270LAL,PO
202404290DEN,PO
