id,type
202310250MEM,RS
202310270MEM,RS
202310280WAS,RS
202310300MEM,RS
202311010UTA,RS
202311030POR,RS
202311050POR,RS
202311080MEM,RS
202311100MEM,RS
202311120LAC,RS
202311140LAL,RS
202311180SAS,RS
202311190MEM,RS
202311220HOU,RS
202311240MEM,RS
202311260MEM,RS
202311290MEM,RS
202312010DAL,RS
202312020PHO,RS
202312060DET,RS
202312080MEM,RS
202312110MEM,RS
202312130HOU,RS
202312150MEM,RS
202312180OKC,RS
202312190NOP,RS
202312210MEM,RS
202312230ATL,RS
202312260NOP,RS
202312280DEN,RS
202312290LAC,RS
202312310MEM,RS
202401020MEM,RS
202401030MEM,RS
202401050LAL,RS
202401070PHO,RS
202401090DAL,RS
202401120MEM,RS
202401130MEM,RS
202401150MEM,RS
202401180MIN,RS
202401200CHI,RS
202401220TOR,RS
202401240MIA,RS
202401260MEM,RS
202401280IND,RS
202401290MEM,RS
202402010MEM,RS
202402020MEM,RS
202402040BOS,RS
202402060NYK,RS
202402080MEM,RS
202402100CHO,RS
202402120MEM,RS
202402140MEM,RS
202402150MEM,RS
202402230MEM,RS
202402260MEM,RS
202402280MIN,RS
202403010MEM,RS
202403020MEM,RS
202403040BRK,RS
202403060PHI,RS
202403080MEM,RS
202403100OKC,RS
202403120MEM,RS
202403130MEM,RS
202403160MEM,RS
202403180SAC,RS
202403200GSW,RS
202403220SAS,RS
202403250DEN,RS
202403270MEM,RS
202403300ORL,RS
202404010DET,RS
202404030MIL,RS
202404050MEM,RS
202404060MEM,RS
202404090MEM,RS
202404100CLE,RS
202404120MEM,RS
202404140MEM,RS
