id,type
202310250MIA,RS
202310270BOS,RS
202310280MIN,RS
202310300MIL,RS
202311010MIA,RS
202311030MIA,RS
202311060MIA,RS
202311080MEM,RS
202311110ATL,RS
202311120SAS,RS
202311140CHO,RS
202311160MIA,RS
202311180CHI,RS
202311200CHI,RS
202311220CLE,RS
202311240NYK,RS
202311250BRK,RS
202311280MIA,RS
202311300MIA,RS
202312020MIA,RS
202312060TOR,RS
202312080MIA,RS
202312110CHO,RS
202312130MIA,RS
202312140MIA,RS
202312160MIA,RS
202312180MIA,RS
202312200ORL,RS
202312220MIA,RS
202312250MIA,RS
202312280GSW,RS
202312300UTA,RS
202401010LAC,RS
202401030LAL,RS
202401050PHO,RS
202401080MIA,RS
202401100MIA,RS
202401120MIA,RS
202401140MIA,RS
202401150BRK,RS
202401170TOR,RS
202401190MIA,RS
202401210ORL,RS
202401240MIA,RS
202401250MIA,RS
202401270NYK,RS
202401290MIA,RS
202401310MIA,RS
202402020WAS,RS
202402040MIA,RS
202402060MIA,RS
202402070MIA,RS
202402110MIA,RS
202402130MIL,RS
202402140PHI,RS
202402230NOP,RS
202402260SAC,RS
202402270POR,RS
202402290DEN,RS
202403020MIA,RS
202403050MIA,RS
202403070DAL,RS
202403080OKC,RS
202403100MIA,RS
202403130MIA,RS
202403150DET,RS
202403170DET,RS
202403180PHI,RS
202403200CLE,RS
202403220MIA,RS
202403240MIA,RS
202403260MIA,RS
202403290MIA,RS
202403310WAS,RS
202404020MIA,RS
202404040MIA,RS
202404050HOU,RS
202404070IND,RS
202404090ATL,RS
202404100MIA,RS
202404120MIA,RS
202404140MIA,RS
202404170PHI,RS
202404190MIA,RS
202404210BOS,PO
202404240BOS,PO
202404270MIA,PO
202404290MIA,PO
202405010BOS,PO
