id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202310250MIA,RS,DET,0.0,,0,0,0
202310250MIA,RS,DET,17.0,,0,2,-2
202310250MIA,RS,DET,52.0,,0,4,-4
202310250MIA,RS,DET,102.0,,2,4,-2
202310250MIA,RS,DET,123.0,LC,5,4,1
202310250MIA,RS,DET,133.0,T,5,5,0
202310250MIA,RS,DET,133.0,LC,5,6,-1
202310250MIA,RS,DET,164.0,,5,9,-4
202310250MIA,RS,DET,200.0,,5,12,-7
202310250MIA,RS,DET,212.0,,8,12,-4
202310250MIA,RS,DET,231.0,,10,12,-2
202310250MIA,RS,DET,261.0,T,12,12,0
202310250MIA,RS,DET,261.0,LC,13,12,1
202310250MIA,RS,DET,277.0,,14,12,2
202310250MIA,RS,DET,300.0,,15,12,3
202310250MIA,RS,DET,300.0,,16,12,4
202310250MIA,RS,DET,315.0,,16,14,2
202310250MIA,RS,DET,336.0,,18,14,4
202310250MIA,RS,DET,351.0,,18,16,2
202310250MIA,RS,DET,367.0,,20,16,4
202310250MIA,RS,DET,390.0,,20,18,2
202310250MIA,RS,DET,432.0,,21,18,3
202310250MIA,RS,DET,432.0,,22,18,4
202310250MIA,RS,DET,484.0,,22,21,1
202310250MIA,RS,DET,527.0,,24,21,3
202310250MIA,RS,DET,598.0,,24,23,1
202310250MIA,RS,DET,644.0,LC,24,26,-2
202310250MIA,RS,DET,694.0,T,26,26,0
202310250MIA,RS,DET,715.0,,26,29,-3
202310250MIA,RS,DET,741.0,,28,29,-1
202310250MIA,RS,DET,796.0,LC,31,29,2
202310250MIA,RS,DET,836.0,,33,29,4
202310250MIA,RS,DET,850.0,,33,30,3
202310250MIA,RS,DET,861.0,,34,30,4
202310250MIA,RS,DET,895.0,,36,30,6
202310250MIA,RS,DET,925.0,,38,30,8
202310250MIA,RS,DET,925.0,,39,30,9
202310250MIA,RS,DET,939.0,,39,32,7
202310250MIA,RS,DET,1016.0,,39,35,4
202310250MIA,RS,DET,1034.0,,41,35,6
202310250MIA,RS,DET,1073.0,,42,35,7
202310250MIA,RS,DET,1073.0,,43,35,8
202310250MIA,RS,DET,1082.0,,43,37,6
202310250MIA,RS,DET,1123.0,,43,39,4
202310250MIA,RS,DET,1142.0,,46,39,7
202310250MIA,RS,DET,1162.0,,46,41,5
202310250MIA,RS,DET,1180.0,,48,41,7
202310250MIA,RS,DET,1191.0,,49,41,8
202310250MIA,RS,DET,1191.0,,50,41,9
202310250MIA,RS,DET,1213.0,,50,43,7
202310250MIA,RS,DET,1232.0,,52,43,9
202310250MIA,RS,DET,1302.0,,53,43,10
202310250MIA,RS,DET,1348.0,,53,46,7
202310250MIA,RS,DET,1371.0,,55,46,9
202310250MIA,RS,DET,1409.0,,58,46,12
202310250MIA,RS,DET,1440.0,,58,47,11
202310250MIA,RS,DET,1484.0,,61,47,14
202310250MIA,RS,DET,1502.0,,61,49,12
