id,type
202310260MIL,RS
202310290MIL,RS
202310300MIL,RS
202311010TOR,RS
202311030MIL,RS
202311060BRK,RS
202311080MIL,RS
202311090IND,RS
202311110ORL,RS
202311130MIL,RS
202311150TOR,RS
202311170CHO,RS
202311180MIL,RS
202311200WAS,RS
202311220BOS,RS
202311240MIL,RS
202311260MIL,RS
202311280MIA,RS
202311300CHI,RS
202312020MIL,RS
202312050MIL,RS
202312070MIL,RS
202312110MIL,RS
202312130MIL,RS
202312160MIL,RS
202312170MIL,RS
202312190MIL,RS
202312210MIL,RS
202312230NYK,RS
202312250NYK,RS
202312270BRK,RS
202312290CLE,RS
202401010MIL,RS
202401030IND,RS
202401040SAS,RS
202401060HOU,RS
202401080MIL,RS
202401110MIL,RS
202401130MIL,RS
202401140MIL,RS
202401170CLE,RS
202401200DET,RS
202401220DET,RS
202401240MIL,RS
202401260MIL,RS
202401270MIL,RS
202401290DEN,RS
202401310POR,RS
202402030DAL,RS
202402040UTA,RS
202402060PHO,RS
202402080MIL,RS
202402090MIL,RS
202402120MIL,RS
202402130MIL,RS
202402150MEM,RS
202402230MIN,RS
202402250PHI,RS
202402270MIL,RS
202402290CHO,RS
202403010CHI,RS
202403040MIL,RS
202403060GSW,RS
202403080LAL,RS
202403100LAC,RS
202403120SAC,RS
202403140MIL,RS
202403170MIL,RS
202403200BOS,RS
202403210MIL,RS
202403240MIL,RS
202403260MIL,RS
202403280NOP,RS
202403300ATL,RS
202404020WAS,RS
202404030MIL,RS
202404050MIL,RS
202404070MIL,RS
202404090MIL,RS
202404100MIL,RS
202404120OKC,RS
202404140ORL,RS
202404210MIL,PO
202404230MIL,PO
202404260IND,PO
202404280IND,PO
202404300MIL,PO
202405020IND,PO
