id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202310260MIL,RS,PHI,0.0,,0,0,0
202310260MIL,RS,PHI,64.0,,0,2,-2
202310260MIL,RS,PHI,83.0,T,2,2,0
202310260MIL,RS,PHI,95.0,,2,3,-1
202310260MIL,RS,PHI,114.0,T,3,3,0
202310260MIL,RS,PHI,154.0,,3,5,-2
202310260MIL,RS,PHI,171.0,T,5,5,0
202310260MIL,RS,PHI,211.0,LC,8,5,3
202310260MIL,RS,PHI,237.0,,10,5,5
202310260MIL,RS,PHI,295.0,,12,5,7
202310260MIL,RS,PHI,299.0,,12,7,5
202310260MIL,RS,PHI,328.0,,15,7,8
202310260MIL,RS,PHI,350.0,,15,9,6
202310260MIL,RS,PHI,363.0,,17,9,8
202310260MIL,RS,PHI,396.0,,19,9,10
202310260MIL,RS,PHI,415.0,,19,12,7
202310260MIL,RS,PHI,441.0,,19,14,5
202310260MIL,RS,PHI,450.0,,20,14,6
202310260MIL,RS,PHI,450.0,,21,14,7
202310260MIL,RS,PHI,479.0,,24,14,10
202310260MIL,RS,PHI,502.0,,24,16,8
202310260MIL,RS,PHI,550.0,,26,16,10
202310260MIL,RS,PHI,578.0,,26,19,7
202310260MIL,RS,PHI,616.0,,28,19,9
202310260MIL,RS,PHI,640.0,,28,21,7
202310260MIL,RS,PHI,652.0,,30,21,9
202310260MIL,RS,PHI,670.0,,30,22,8
202310260MIL,RS,PHI,670.0,,30,23,7
202310260MIL,RS,PHI,731.0,,30,25,5
202310260MIL,RS,PHI,799.0,,30,26,4
202310260MIL,RS,PHI,799.0,,30,27,3
202310260MIL,RS,PHI,812.0,,32,27,5
202310260MIL,RS,PHI,828.0,,32,30,2
202310260MIL,RS,PHI,875.0,,34,30,4
202310260MIL,RS,PHI,895.0,,34,32,2
202310260MIL,RS,PHI,923.0,,36,32,4
202310260MIL,RS,PHI,967.0,,38,32,6
202310260MIL,RS,PHI,991.0,,39,32,7
202310260MIL,RS,PHI,991.0,,40,32,8
202310260MIL,RS,PHI,1021.0,,40,33,7
202310260MIL,RS,PHI,1041.0,,43,33,10
202310260MIL,RS,PHI,1041.0,,44,33,11
202310260MIL,RS,PHI,1059.0,,44,35,9
202310260MIL,RS,PHI,1074.0,,46,35,11
202310260MIL,RS,PHI,1090.0,,48,35,13
202310260MIL,RS,PHI,1113.0,,48,36,12
202310260MIL,RS,PHI,1124.0,,50,36,14
202310260MIL,RS,PHI,1137.0,,50,37,13
202310260MIL,RS,PHI,1145.0,,53,37,16
202310260MIL,RS,PHI,1174.0,,55,37,18
202310260MIL,RS,PHI,1184.0,,55,38,17
202310260MIL,RS,PHI,1196.0,,56,38,18
202310260MIL,RS,PHI,1196.0,,57,38,19
202310260MIL,RS,PHI,1232.0,,57,41,16
202310260MIL,RS,PHI,1257.0,,57,44,13
202310260MIL,RS,PHI,1282.0,,57,45,12
202310260MIL,RS,PHI,1282.0,,57,46,11
202310260MIL,RS,PHI,1300.0,,57,49,8
202310260MIL,RS,PHI,1322.0,,60,49,11
202310260MIL,RS,PHI,1344.0,,61,49,12
202310260MIL,RS,PHI,1362.0,,61,51,10
202310260MIL,RS,PHI,1378.0,,61,53,8
202310260MIL,RS,PHI,1378.0,,61,54,7
202310260MIL,RS,PHI,1391.0,,62,54,8
202310260MIL,RS,PHI,1391.0,,63,54,9
202310260MIL,RS,PHI,1460.0,,63,57,6
202310260MIL,RS,PHI,1480.0,,65,57,8
202310260MIL,RS,PHI,1490.0,,65,60,5
202310260MIL,RS,PHI,1533.0,,66,60,6
202310260MIL,RS,PHI,1548.0,,66,62,4
202310260MIL,RS,PHI,1564.0,,68,62,6
202310260MIL,RS,PHI,1600.0,,68,65,3
202310260MIL,RS,PHI,1621.0,,71,65,6
202310260MIL,RS,PHI,1641.0,,71,67,4
202310260MIL,RS,PHI,1673.0,,71,69,2
202310260MIL,RS,PHI,1691.0,,73,69,4
202310260MIL,RS,PHI,1714.0,,75,69,6
202310260MIL,RS,PHI,1766.0,,77,69,8
202310260MIL,RS,PHI,1813.0,,78,69,9
202310260MIL,RS,PHI,1834.0,,78,70,8
202310260MIL,RS,PHI,1903.0,,79,70,9
202310260MIL,RS,PHI,1903.0,,80,70,10
202310260MIL,RS,PHI,1914.0,,80,72,8
202310260MIL,RS,PHI,1935.0,,82,72,10
202310260MIL,RS,PHI,1952.0,,82,74,8
202310260MIL,RS,PHI,1972.0,,82,77,5
202310260MIL,RS,PHI,2004.0,,82,80,2
202310260MIL,RS,PHI,2023.0,,83,80,3
202310260MIL,RS,PHI,2023.0,,84,80,4
202310260MIL,RS,PHI,2058.0,,85,80,5
202310260MIL,RS,PHI,2058.0,,86,80,6
202310260MIL,RS,PHI,2098.0,,86,82,4
202310260MIL,RS,PHI,2098.0,,86,83,3
202310260MIL,RS,PHI,2112.0,,88,83,5
202310260MIL,RS,PHI,2126.0,,88,85,3
202310260MIL,RS,PHI,2245.0,,90,85,5
202310260MIL,RS,PHI,2263.0,,90,87,3
202310260MIL,RS,PHI,2263.0,,90,88,2
202310260MIL,RS,PHI,2275.0,,92,88,4
202310260MIL,RS,PHI,2306.0,,94,88,6
202310260MIL,RS,PHI,2319.0,,94,90,4
202310260MIL,RS,PHI,2343.0,,94,93,1
202310260MIL,RS,PHI,2380.0,T,94,94,0
202310260MIL,RS,PHI,2380.0,LC,94,95,-1
202310260MIL,RS,PHI,2398.0,,94,98,-4
202310260MIL,RS,PHI,2411.0,,94,100,-6
202310260MIL,RS,PHI,2473.0,,94,101,-7
202310260MIL,RS,PHI,2473.0,,94,102,-8
202310260MIL,RS,PHI,2509.0,,97,102,-5
202310260MIL,RS,PHI,2540.0,,100,102,-2
