id,type
202310250TOR,RS
202310280MIN,RS
202310300ATL,RS
202311010MIN,RS
202311040MIN,RS
202311060MIN,RS
202311080MIN,RS
202311100SAS,RS
202311120GSW,RS
202311140GSW,RS
202311150PHO,RS
202311180NOP,RS
202311200MIN,RS
202311220MIN,RS
202311240MIN,RS
202311260MEM,RS
202311280MIN,RS
202311300MIN,RS
202312020CHO,RS
202312060MIN,RS
202312080MEM,RS
202312110NOP,RS
202312140DAL,RS
202312160MIN,RS
202312180MIA,RS
202312200PHI,RS
202312210MIN,RS
202312230SAC,RS
202312260OKC,RS
202312280MIN,RS
202312300MIN,RS
202401010NYK,RS
202401030MIN,RS
202401050HOU,RS
202401070DAL,RS
202401090ORL,RS
202401100BOS,RS
202401120MIN,RS
202401140MIN,RS
202401170DET,RS
202401180MIN,RS
202401200MIN,RS
202401220MIN,RS
202401240WAS,RS
202401250BRK,RS
202401270SAS,RS
202401290OKC,RS
202401310MIN,RS
202402020MIN,RS
202402040MIN,RS
202402060CHI,RS
202402080MIL,RS
202402120LAC,RS
202402130POR,RS
202402150POR,RS
202402230MIN,RS
202402240MIN,RS
202402270MIN,RS
202402280MIN,RS
202403010MIN,RS
202403030MIN,RS
202403040MIN,RS
202403070IND,RS
202403080CLE,RS
202403100LAL,RS
202403120LAC,RS
202403160UTA,RS
202403180UTA,RS
202403190MIN,RS
202403220MIN,RS
202403240MIN,RS
202403270MIN,RS
202403290DEN,RS
202403310MIN,RS
202404020MIN,RS
202404030MIN,RS
202404050PHO,RS
202404070LAL,RS
202404090MIN,RS
202404100DEN,RS
202404120MIN,RS
202404140MIN,RS
202404200MIN,PO
202404230MIN,PO
202404260PHO,PO
202404280PHO,PO
202405040DEN,PO
202405060DEN,PO
202405100MIN,PO
202405120MIN,PO
202405140DEN,PO
202405160MIN,PO
202405190DEN,PO
202405220MIN,PO
202405240MIN,PO
202405260DAL,PO
202405280DAL,PO
202405300MIN,PO
