id,type
202310250NYK,RS
202310270ATL,RS
202310280NOP,RS
202310310CLE,RS
202311010NYK,RS
202311030MIL,RS
202311060NYK,RS
202311080NYK,RS
202311120NYK,RS
202311130BOS,RS
202311150ATL,RS
202311170WAS,RS
202311180CHO,RS
202311200MIN,RS
202311240NYK,RS
202311260NYK,RS
202311280NYK,RS
202311300NYK,RS
202312010TOR,RS
202312050MIL,RS
202312080BOS,RS
202312110NYK,RS
202312130UTA,RS
202312150PHO,RS
202312160LAC,RS
202312180LAL,RS
202312200BRK,RS
202312230NYK,RS
202312250NYK,RS
202312270OKC,RS
202312290ORL,RS
202312300IND,RS
202401010NYK,RS
202401030NYK,RS
202401050PHI,RS
202401060WAS,RS
202401090NYK,RS
202401110DAL,RS
202401130MEM,RS
202401150NYK,RS
202401170NYK,RS
202401180NYK,RS
202401200NYK,RS
202401230BRK,RS
202401250NYK,RS
202401270NYK,RS
202401290CHO,RS
202401300NYK,RS
202402010NYK,RS
202402030NYK,RS
202402060NYK,RS
202402080NYK,RS
202402100NYK,RS
202402120HOU,RS
202402140ORL,RS
202402220PHI,RS
202402240NYK,RS
202402260NYK,RS
202402270NYK,RS
202402290NYK,RS
202403030CLE,RS
202403050NYK,RS
202403080NYK,RS
202403100NYK,RS
202403120NYK,RS
202403140POR,RS
202403160SAC,RS
202403180GSW,RS
202403210DEN,RS
202403230NYK,RS
202403250NYK,RS
202403270TOR,RS
202403290SAS,RS
202403310NYK,RS
202404020MIA,RS
202404040NYK,RS
202404050CHI,RS
202404070MIL,RS
202404090CHI,RS
202404110BOS,RS
202404120NYK,RS
202404140NYK,RS
202404200NYK,PO
202404220NYK,PO
202404250PHI,PO
202404280PHI,PO
202404300NYK,PO
202405020PHI,PO
202405060NYK,PO
202405080NYK,PO
202405100IND,PO
202405120IND,PO
202405140NYK,PO
202405170IND,PO
202405190NYK,PO
