id,type
202310250CHI,RS
202310270CLE,RS
202310290OKC,RS
202310300OKC,RS
202311010OKC,RS
202311030OKC,RS
202311060OKC,RS
202311080OKC,RS
202311100SAC,RS
202311120PHO,RS
202311140OKC,RS
202311160GSW,RS
202311180GSW,RS
202311190POR,RS
202311220OKC,RS
202311250OKC,RS
202311280MIN,RS
202311300OKC,RS
202312020DAL,RS
202312060HOU,RS
202312080OKC,RS
202312110OKC,RS
202312140SAC,RS
202312160DEN,RS
202312180OKC,RS
202312210OKC,RS
202312230OKC,RS
202312260OKC,RS
202312270OKC,RS
202312290DEN,RS
202312310OKC,RS
202401020OKC,RS
202401030ATL,RS
202401050BRK,RS
202401080WAS,RS
202401100MIA,RS
202401110OKC,RS
202401130OKC,RS
202401150LAL,RS
202401160LAC,RS
202401180UTA,RS
202401200MIN,RS
202401230OKC,RS
202401240SAS,RS
202401260NOP,RS
202401280DET,RS
202401290OKC,RS
202401310OKC,RS
202402020OKC,RS
202402040OKC,RS
202402060UTA,RS
202402100DAL,RS
202402110OKC,RS
202402130ORL,RS
202402220OKC,RS
202402230OKC,RS
202402250HOU,RS
202402270OKC,RS
202402290SAS,RS
202403030PHO,RS
202403040LAL,RS
202403060POR,RS
202403080OKC,RS
202403100OKC,RS
202403120OKC,RS
202403140OKC,RS
202403160MEM,RS
202403200OKC,RS
202403220TOR,RS
202403240MIL,RS
202403260NOP,RS
202403270OKC,RS
202403290OKC,RS
202403310NYK,RS
202404020PHI,RS
202404030BOS,RS
202404050IND,RS
202404070CHO,RS
202404090OKC,RS
202404100OKC,RS
202404120OKC,RS
202404140OKC,RS
202404210OKC,PO
202404240OKC,PO
202404270NOP,PO
202404290NOP,PO
202405070OKC,PO
202405090OKC,PO
202405110DAL,PO
202405130DAL,PO
202405150OKC,PO
202405180DAL,PO
