id,type
202310250ORL,RS
202310270POR,RS
202310300LAL,RS
202310310LAC,RS
202311020UTA,RS
202311040ORL,RS
202311060ORL,RS
202311090ORL,RS
202311110ORL,RS
202311140BRK,RS
202311150CHI,RS
202311170CHI,RS
202311190IND,RS
202311210ORL,RS
202311220ORL,RS
202311240ORL,RS
202311260ORL,RS
202311290ORL,RS
202312010ORL,RS
202312020BRK,RS
202312060CLE,RS
202312080ORL,RS
202312110ORL,RS
202312150BOS,RS
202312170BOS,RS
202312200ORL,RS
202312210MIL,RS
202312230IND,RS
202312260WAS,RS
202312270ORL,RS
202312290ORL,RS
202312310PHO,RS
202401020GSW,RS
202401030SAC,RS
202401050DEN,RS
202401070ORL,RS
202401090ORL,RS
202401120MIA,RS
202401130OKC,RS
202401150NYK,RS
202401170ATL,RS
202401190ORL,RS
202401210ORL,RS
202401220ORL,RS
202401260MEM,RS
202401280ORL,RS
202401290DAL,RS
202401310SAS,RS
202402020MIN,RS
202402040DET,RS
202402060MIA,RS
202402080ORL,RS
202402100ORL,RS
202402130ORL,RS
202402140ORL,RS
202402220CLE,RS
202402240DET,RS
202402250ATL,RS
202402270ORL,RS
202402290ORL,RS
202403030ORL,RS
202403050CHO,RS
202403060WAS,RS
202403080NYK,RS
202403100ORL,RS
202403130ORL,RS
202403150TOR,RS
202403170ORL,RS
202403190ORL,RS
202403210ORL,RS
202403230ORL,RS
202403270ORL,RS
202403290ORL,RS
202403300ORL,RS
202404010ORL,RS
202404030NOP,RS
202404050CHO,RS
202404070ORL,RS
202404090HOU,RS
202404100MIL,RS
202404120PHI,RS
202404140ORL,RS
202404200CLE,PO
202404220CLE,PO
202404250ORL,PO
202404270ORL,PO
202404300CLE,PO
202405030ORL,PO
202405050CLE,PO
