id,type
202310260MIL,RS
202310280TOR,RS
202310290PHI,RS
202311020PHI,RS
202311040PHI,RS
202311060PHI,RS
202311080PHI,RS
202311100DET,RS
202311120PHI,RS
202311140PHI,RS
202311150PHI,RS
202311170ATL,RS
202311190BRK,RS
202311210PHI,RS
202311220MIN,RS
202311250OKC,RS
202311270PHI,RS
202311290NOP,RS
202312010BOS,RS
202312060WAS,RS
202312080PHI,RS
202312110PHI,RS
202312130DET,RS
202312150PHI,RS
202312160CHO,RS
202312180PHI,RS
202312200PHI,RS
202312220PHI,RS
202312250MIA,RS
202312270ORL,RS
202312290HOU,RS
202312300CHI,RS
202401020PHI,RS
202401050PHI,RS
202401060PHI,RS
202401100ATL,RS
202401120PHI,RS
202401150PHI,RS
202401160PHI,RS
202401190ORL,RS
202401200CHO,RS
202401220PHI,RS
202401250IND,RS
202401270DEN,RS
202401290POR,RS
202401300GSW,RS
202402010UTA,RS
202402030PHI,RS
202402050PHI,RS
202402070PHI,RS
202402090PHI,RS
202402100WAS,RS
202402120CLE,RS
202402140PHI,RS
202402220PHI,RS
202402230PHI,RS
202402250PHI,RS
202402270BOS,RS
202403010PHI,RS
202403030DAL,RS
202403050BRK,RS
202403060PHI,RS
202403080PHI,RS
202403100NYK,RS
202403120NYK,RS
202403140MIL,RS
202403160PHI,RS
202403180PHI,RS
202403200PHO,RS
202403220LAL,RS
202403240LAC,RS
202403250SAC,RS
202403270PHI,RS
202403290CLE,RS
202403310TOR,RS
202404020PHI,RS
202404040MIA,RS
202404060MEM,RS
202404070SAS,RS
202404090PHI,RS
202404120PHI,RS
202404140PHI,RS
202404170PHI,RS
202404200NYK,PO
202404220NYK,PO
202404250PHI,PO
202404280PHI,PO
202404300NYK,PO
202405020PHI,PO
