id,type
202310240GSW,RS
202310260LAL,RS
202310280PHO,RS
202310310PHO,RS
202311020PHO,RS
202311040PHI,RS
202311050DET,RS
202311080CHI,RS
202311100PHO,RS
202311120PHO,RS
202311150PHO,RS
202311170UTA,RS
202311190UTA,RS
202311210PHO,RS
202311220PHO,RS
202311240MEM,RS
202311260NYK,RS
202311290TOR,RS
202312010PHO,RS
202312020PHO,RS
202312050LAL,RS
202312080PHO,RS
202312120PHO,RS
202312130PHO,RS
202312150PHO,RS
202312170PHO,RS
202312190POR,RS
202312220SAC,RS
202312250PHO,RS
202312270HOU,RS
202312290PHO,RS
202312310PHO,RS
202401010PHO,RS
202401030PHO,RS
202401050PHO,RS
202401070PHO,RS
202401080LAC,RS
202401110LAL,RS
202401140POR,RS
202401160PHO,RS
202401190NOP,RS
202401210PHO,RS
202401220PHO,RS
202401240DAL,RS
202401260IND,RS
202401280ORL,RS
202401290MIA,RS
202401310BRK,RS
202402020ATL,RS
202402040WAS,RS
202402060PHO,RS
202402080PHO,RS
202402100GSW,RS
202402130PHO,RS
202402140PHO,RS
202402220DAL,RS
202402230HOU,RS
202402250PHO,RS
202402290PHO,RS
202403020PHO,RS
202403030PHO,RS
202403050DEN,RS
202403070PHO,RS
202403090PHO,RS
202403110CLE,RS
202403140BOS,RS
202403150CHO,RS
202403170MIL,RS
202403200PHO,RS
202403210PHO,RS
202403230SAS,RS
202403250SAS,RS
202403270DEN,RS
202403290OKC,RS
202404010NOP,RS
202404030PHO,RS
202404050PHO,RS
202404070PHO,RS
202404090PHO,RS
202404100LAC,RS
202404120SAC,RS
202404140MIN,RS
202404200MIN,PO
202404230MIN,PO
202404260PHO,PO
202404280PHO,PO
