id,type
202310250LAC,RS
202310270POR,RS
202310290PHI,RS
202310300TOR,RS
202311010DET,RS
202311030POR,RS
202311050POR,RS
202311080SAC,RS
202311120LAL,RS
202311140UTA,RS
202311150POR,RS
202311170POR,RS
202311190POR,RS
202311210PHO,RS
202311220POR,RS
202311260MIL,RS
202311270IND,RS
202311300CLE,RS
202312020UTA,RS
202312060GSW,RS
202312080POR,RS
202312110LAC,RS
202312140POR,RS
202312160POR,RS
202312170POR,RS
202312190POR,RS
202312210POR,RS
202312230GSW,RS
202312260POR,RS
202312280POR,RS
202312290POR,RS
202401010PHO,RS
202401030DAL,RS
202401050DAL,RS
202401070BRK,RS
202401090NYK,RS
202401110OKC,RS
202401120MIN,RS
202401140POR,RS
202401170POR,RS
202401190POR,RS
202401210LAL,RS
202401230OKC,RS
202401240HOU,RS
202401260SAS,RS
202401280POR,RS
202401290POR,RS
202401310POR,RS
202402020DEN,RS
202402040DEN,RS
202402080POR,RS
202402100POR,RS
202402130POR,RS
202402150POR,RS
202402230POR,RS
202402250POR,RS
202402270POR,RS
202403010MEM,RS
202403020MEM,RS
202403040MIN,RS
202403060POR,RS
202403080POR,RS
202403090POR,RS
202403110POR,RS
202403130POR,RS
202403140POR,RS
202403160NOP,RS
202403180CHI,RS
202403200POR,RS
202403220POR,RS
202403230POR,RS
202403250HOU,RS
202403270ATL,RS
202403290MIA,RS
202404010ORL,RS
202404030CHO,RS
202404050WAS,RS
202404070BOS,RS
202404090POR,RS
202404110POR,RS
202404120POR,RS
202404140SAC,RS
