id,type
202310250UTA,RS
202310270SAC,RS
202310290SAC,RS
202311010GSW,RS
202311040HOU,RS
202311060HOU,RS
202311080SAC,RS
202311100SAC,RS
202311130SAC,RS
202311150LAL,RS
202311170SAS,RS
202311190DAL,RS
202311200NOP,RS
202311220NOP,RS
202311240MIN,RS
202311280SAC,RS
202311290SAC,RS
202312020SAC,RS
202312040SAC,RS
202312080PHO,RS
202312110SAC,RS
202312120LAC,RS
202312140SAC,RS
202312160SAC,RS
202312180SAC,RS
202312200SAC,RS
202312220SAC,RS
202312230SAC,RS
202312260POR,RS
202312290ATL,RS
202312310MEM,RS
202401020SAC,RS
202401030SAC,RS
202401050SAC,RS
202401070SAC,RS
202401090DET,RS
202401100CHO,RS
202401120PHI,RS
202401140MIL,RS
202401160PHO,RS
202401180SAC,RS
202401220SAC,RS
202401250GSW,RS
202401270DAL,RS
202401290MEM,RS
202401310MIA,RS
202402020IND,RS
202402030CHI,RS
202402050CLE,RS
202402070SAC,RS
202402090SAC,RS
202402110OKC,RS
202402130PHO,RS
202402140DEN,RS
202402220SAC,RS
202402250LAC,RS
202402260SAC,RS
202402280DEN,RS
202403010MIN,RS
202403040SAC,RS
202403060LAL,RS
202403070SAC,RS
202403100SAC,RS
202403120SAC,RS
202403130SAC,RS
202403160SAC,RS
202403180SAC,RS
202403200TOR,RS
202403210WAS,RS
202403230ORL,RS
202403250SAC,RS
202403260SAC,RS
202403290SAC,RS
202403310SAC,RS
202404020SAC,RS
202404040NYK,RS
202404050BOS,RS
202404070BRK,RS
202404090OKC,RS
202404110SAC,RS
202404120SAC,RS
202404140SAC,RS
202404160SAC,RS
202404190NOP,RS
