id,type
202310250SAS,RS
202310270SAS,RS
202310290LAC,RS
202310310PHO,RS
202311020PHO,RS
202311050SAS,RS
202311060IND,RS
202311080NYK,RS
202311100SAS,RS
202311120SAS,RS
202311140OKC,RS
202311170SAS,RS
202311180SAS,RS
202311200SAS,RS
202311220SAS,RS
202311240GSW,RS
202311260DEN,RS
202311300SAS,RS
202312010NOP,RS
202312060MIN,RS
202312080SAS,RS
202312110HOU,RS
202312130SAS,RS
202312150SAS,RS
202312170SAS,RS
202312190MIL,RS
202312210CHI,RS
202312230DAL,RS
202312260SAS,RS
202312280POR,RS
202312290POR,RS
202312310SAS,RS
202401020MEM,RS
202401040SAS,RS
202401070CLE,RS
202401100DET,RS
202401120SAS,RS
202401130SAS,RS
202401150ATL,RS
202401170BOS,RS
202401190CHO,RS
202401200WAS,RS
202401220PHI,RS
202401240SAS,RS
202401260SAS,RS
202401270SAS,RS
202401290SAS,RS
202401310SAS,RS
202402020SAS,RS
202402030SAS,RS
202402070MIA,RS
202402080ORL,RS
202402100BRK,RS
202402120TOR,RS
202402140DAL,RS
202402220SAC,RS
202402230LAL,RS
202402250UTA,RS
202402270MIN,RS
202402290SAS,RS
202403030SAS,RS
202403050HOU,RS
202403070SAC,RS
202403090GSW,RS
202403110SAS,RS
202403120SAS,RS
202403150SAS,RS
202403170SAS,RS
202403190SAS,RS
202403220SAS,RS
202403230SAS,RS
202403250SAS,RS
202403270UTA,RS
202403290SAS,RS
202403310SAS,RS
202404020DEN,RS
202404050NOP,RS
202404070SAS,RS
202404090MEM,RS
202404100OKC,RS
202404120SAS,RS
202404140SAS,RS
