id,type
202310250TOR,RS
202310270CHI,RS
202310280TOR,RS
202310300TOR,RS
202311010TOR,RS
202311020PHI,RS
202311050SAS,RS
202311080DAL,RS
202311110BOS,RS
202311130TOR,RS
202311150TOR,RS
202311170TOR,RS
202311190TOR,RS
202311210ORL,RS
202311220IND,RS
202311240TOR,RS
202311260CLE,RS
202311280BRK,RS
202311290TOR,RS
202312010TOR,RS
202312060TOR,RS
202312080CHO,RS
202312110NYK,RS
202312130TOR,RS
202312150TOR,RS
202312180TOR,RS
202312200TOR,RS
202312220PHI,RS
202312230TOR,RS
202312270WAS,RS
202312290BOS,RS
202312300DET,RS
202401010TOR,RS
202401030MEM,RS
202401050SAC,RS
202401070GSW,RS
202401090LAL,RS
202401100LAC,RS
202401120UTA,RS
202401150TOR,RS
202401170TOR,RS
202401180TOR,RS
202401200NYK,RS
202401220TOR,RS
202401260TOR,RS
202401280ATL,RS
202401300CHI,RS
202402020HOU,RS
202402040OKC,RS
202402050NOP,RS
202402070CHO,RS
202402090TOR,RS
202402100TOR,RS
202402120TOR,RS
202402140TOR,RS
202402220TOR,RS
202402230ATL,RS
202402260IND,RS
202402280TOR,RS
202403010TOR,RS
202403030TOR,RS
202403050TOR,RS
202403070PHO,RS
202403090POR,RS
202403110DEN,RS
202403130DET,RS
202403150TOR,RS
202403170ORL,RS
202403200TOR,RS
202403220TOR,RS
202403230WAS,RS
202403250TOR,RS
202403270TOR,RS
202403310TOR,RS
202404020TOR,RS
202404030MIN,RS
202404050MIL,RS
202404070TOR,RS
202404090TOR,RS
202404100BRK,RS
202404120MIA,RS
202404140MIA,RS
