id,type
202310250UTA,RS
202310270UTA,RS
202310280PHO,RS
202310300DEN,RS
202311010UTA,RS
202311020UTA,RS
202311040MIN,RS
202311060CHI,RS
202311080IND,RS
202311100MEM,RS
202311140UTA,RS
202311170UTA,RS
202311190UTA,RS
202311210LAL,RS
202311220POR,RS
202311250UTA,RS
202311270UTA,RS
202311290MEM,RS
202311300MIN,RS
202312020UTA,RS
202312060DAL,RS
202312080UTA,RS
202312110OKC,RS
202312130UTA,RS
202312140POR,RS
202312160SAC,RS
202312180UTA,RS
202312200CLE,RS
202312210DET,RS
202312230TOR,RS
202312260SAS,RS
202312280NOP,RS
202312300UTA,RS
202401010UTA,RS
202401030UTA,RS
202401050BOS,RS
202401060PHI,RS
202401080MIL,RS
202401100UTA,RS
202401120UTA,RS
202401130UTA,RS
202401150UTA,RS
202401180UTA,RS
202401200HOU,RS
202401230NOP,RS
202401250WAS,RS
202401270CHO,RS
202401290BRK,RS
202401300NYK,RS
202402010UTA,RS
202402040UTA,RS
202402060UTA,RS
202402080PHO,RS
202402120UTA,RS
202402140UTA,RS
202402150UTA,RS
202402220UTA,RS
202402250UTA,RS
202402270ATL,RS
202402290ORL,RS
202403020MIA,RS
202403040UTA,RS
202403060UTA,RS
202403090DEN,RS
202403120UTA,RS
202403150UTA,RS
202403160UTA,RS
202403180UTA,RS
202403200OKC,RS
202403210DAL,RS
202403230HOU,RS
202403250UTA,RS
202403270UTA,RS
202403290UTA,RS
202403310SAC,RS
202404020UTA,RS
202404050LAC,RS
202404070GSW,RS
202404090UTA,RS
202404110UTA,RS
202404120LAC,RS
202404140GSW,RS
