id,type
202310250IND,RS
202310280WAS,RS
202310300WAS,RS
202311010ATL,RS
202311030MIA,RS
202311060PHI,RS
202311080CHO,RS
202311100WAS,RS
202311120BRK,RS
202311130TOR,RS
202311150WAS,RS
202311170WAS,RS
202311200WAS,RS
202311220CHO,RS
202311240MIL,RS
202311250WAS,RS
202311270DET,RS
202311290ORL,RS
202312010ORL,RS
202312060WAS,RS
202312080BRK,RS
202312110PHI,RS
202312130WAS,RS
202312150WAS,RS
202312170PHO,RS
202312180SAC,RS
202312210POR,RS
202312220GSW,RS
202312260WAS,RS
202312270WAS,RS
202312290WAS,RS
202312310WAS,RS
202401030CLE,RS
202401050CLE,RS
202401060WAS,RS
202401080WAS,RS
202401100IND,RS
202401130ATL,RS
202401150WAS,RS
202401180NYK,RS
202401200WAS,RS
202401210WAS,RS
202401240WAS,RS
202401250WAS,RS
202401270DET,RS
202401290SAS,RS
202401310WAS,RS
202402020WAS,RS
202402040WAS,RS
202402070WAS,RS
202402090BOS,RS
202402100WAS,RS
202402120DAL,RS
202402140NOP,RS
202402220DEN,RS
202402230OKC,RS
202402250WAS,RS
202402270WAS,RS
202402290LAL,RS
202403010LAC,RS
202403040UTA,RS
202403060WAS,RS
202403080WAS,RS
202403100MIA,RS
202403120MEM,RS
202403140HOU,RS
202403160CHI,RS
202403170WAS,RS
202403190WAS,RS
202403210WAS,RS
202403230WAS,RS
202403250CHI,RS
202403270WAS,RS
202403290WAS,RS
202403310WAS,RS
202404020WAS,RS
202404030WAS,RS
202404050WAS,RS
202404070TOR,RS
202404090MIN,RS
202404120WAS,RS
202404140BOS,RS
